Date,Close/Last,Volume,Open,High,Low
02/10/2022,$138.62,39330660,$139.7035,$141.4845,$137.957
02/09/2022,$141.592,40143880,$140.9635,$142.5243,$140.187
02/08/2022,$139.399,54283600,$139.0265,$140,$137.0139
02/07/2022,$139.201,54973300,$144.25,$144.25,$138.9
02/04/2022,$143.293,57998220,$143.4447,$144.875,$140.515
02/03/2022,$143.09,71517220,$145.7055,$149.675,$142.6653
02/02/2022,$148,123199220,$151.25,$151.5466,$145.5225
02/01/2022,$137.644,68643640,$137.5945,$137.7928,$134.3685
01/31/2022,$135.3035,39986000,$134.162,$135.473,$132.2095
01/28/2022,$133.351,34361480,$129.659,$133.3565,$128.485
01/27/2022,$129.005,32018780,$131.304,$132.6523,$128.9323
01/26/2022,$129.233,49129500,$131.119,$133,$127.142
01/25/2022,$126.935,46960560,$128.74,$129.399,$126.5005
01/24/2022,$130.804,76694240,$125.978,$131.203,$124.5
01/21/2022,$130.3515,55651420,$132.5935,$134.8655,$130.0865
01/20/2022,$133.3075,29907140,$136.25,$137.626,$132.9647
01/19/2022,$135.1165,28647640,$136.5235,$137.9595,$135.0155
01/18/2022,$135.998,34888100,$136.175,$137.1315,$135.4383
01/14/2022,$139.4805,29661280,$137.079,$140.742,$136.9985
01/13/2022,$138.587,31436600,$141.54,$142.85,$138.409
01/12/2022,$141.4305,26112040,$141.15,$142.6078,$140.6945
01/11/2022,$139.736,28729700,$138.007,$140.216,$136.6923
01/10/2022,$138.6695,44408120,$135.078,$138.8195,$133.1645
01/07/2022,$137.017,29760560,$138.1455,$138.4485,$135.7665
01/06/2022,$137.7475,37347420,$136.9985,$139.94,$136.5585
01/05/2022,$137.775,54618280,$144.42,$144.4994,$137.688
01/04/2022,$144.3995,28399440,$145.396,$146.4849,$143.7163
01/03/2022,$144.9915,28678940,$145.055,$145.851,$143.7128
12/31/2021,$144.852,18135180,$146.05,$146.6985,$144.852
12/30/2021,$146.2005,15687720,$146.694,$147.3,$145.9945
12/29/2021,$146.655,17787460,$146.6443,$147.417,$145.6475
12/28/2021,$146.687,18254300,$148.236,$148.299,$146.0543
12/27/2021,$147.9065,15984460,$147.256,$148.344,$147.1693
12/23/2021,$146.9165,26383440,$146.5,$148.2435,$146.452
12/22/2021,$146.415,26322380,$143.0675,$146.5,$143.0675
12/21/2021,$143.4725,28755360,$142.0535,$143.869,$140.5025
12/20/2021,$141.607,27192360,$140,$141.7745,$139.321
12/17/2021,$141.725,51017880,$142.5,$143.8345,$141.3
12/16/2021,$144.445,33650380,$147.1705,$147.6768,$143.607
12/15/2021,$146.441,36370460,$143.409,$146.721,$141.6779
12/14/2021,$143.907,38446240,$143.968,$144.48,$141.2148
12/13/2021,$145.8265,27069400,$147.7815,$147.97,$145.5175
12/10/2021,$148.0015,24462760,$148.7,$148.9775,$146.7037
12/09/2021,$147.6385,23269720,$147.591,$149.1,$147.115
12/08/2021,$148.1865,24270320,$147.5965,$148.393,$146.406
12/07/2021,$147.2695,32240300,$145.5965,$147.5312,$145.2275
12/06/2021,$143.155,30618100,$143.0405,$143.8525,$140.15
12/03/2021,$142.0015,41230160,$143.681,$144.4,$140.301
12/02/2021,$142.966,29194840,$141.25,$143.8645,$140.2145
12/01/2021,$141.0515,34055240,$144,$145.9503,$140.912
11/30/2021,$141.8975,42067220,$145.0085,$146,$141.6015
11/29/2021,$145.5305,32595040,$144,$146.2975,$143.8935
11/26/2021,$142.183,30469240,$144.3485,$144.5575,$141.8425
11/24/2021,$146.12,18040140,$145.4735,$146.2493,$144.373
11/23/2021,$145.782,27231160,$146.153,$146.66,$144.115
11/22/2021,$146.302,30629200,$149.3325,$149.8295,$146.1475
11/19/2021,$148.9265,33699380,$149.9755,$150.9665,$148.899
11/18/2021,$149.8385,35628220,$148.2415,$150.5805,$147.8845
11/17/2021,$148.047,19599500,$148.0275,$148.5595,$147.24
11/16/2021,$147.876,18904000,$148.1495,$148.7625,$147.3125
11/15/2021,$148.452,23507040,$148.9005,$149.5495,$147.575
11/12/2021,$148.678,22360000,$146.6155,$148.85,$145.411
11/11/2021,$145.7665,16517480,$146.4895,$147.5355,$145.6005
11/10/2021,$145.8935,29969800,$147.5,$148.07,$144.5375
11/09/2021,$148.9185,19529740,$149.233,$149.8345,$147.2448
11/08/2021,$149.031,23052500,$149.825,$150.6148,$148.4305
11/05/2021,$148.852,38354740,$149.1695,$150.3275,$148.197
11/04/2021,$148.2675,38411260,$147.1245,$149.7335,$146.308
11/03/2021,$146.598,27493240,$145.9005,$146.669,$144.591
11/02/2021,$145.4325,33482240,$144.5795,$146.609,$144.3355
11/01/2021,$143.497,46923240,$148.046,$148.046,$143.2255
10/29/2021,$148.046,43320300,$145.078,$148.242,$144.6495
10/28/2021,$145.849,36206380,$147.1345,$147.158,$144.6267
10/27/2021,$146.2175,85781400,$139.405,$148.65,$139.405
10/26/2021,$139.3085,49235020,$139.2635,$140.0829,$138.3045
10/25/2021,$137.447,34412260,$137.55,$138,$135.424
10/22/2021,$137.5665,50588960,$139.15,$140.5828,$136.056
10/21/2021,$141.886,26292260,$141.769,$142.156,$140.5
10/20/2021,$141.769,23288060,$143.338,$143.5461,$141.3765
10/19/2021,$143.237,20163000,$143.3875,$143.6625,$142.6
10/18/2021,$142.778,20396160,$141.0765,$142.796,$141.0695
10/15/2021,$141.368,30274440,$141.6145,$141.718,$140.755
10/14/2021,$141.151,31927940,$139.4738,$141.3373,$138.825
10/13/2021,$137.582,19662320,$137.4025,$138,$136.5188
10/12/2021,$136.449,36332240,$139.48,$139.507,$135.76
10/11/2021,$138.914,17953620,$139.292,$140.712,$138.859
10/08/2021,$139.7855,26525840,$139.577,$140.331,$139.2175
10/07/2021,$139.225,25110140,$138.892,$140.042,$138.6512
10/06/2021,$137.565,24364280,$134.75,$137.75,$134.55
10/05/2021,$136.023,32403260,$134.041,$137.2245,$134.041
10/04/2021,$133.6595,51201940,$135.9605,$135.9605,$131.05
10/01/2021,$136.543,35360180,$134.4475,$136.9105,$134.073
09/30/2021,$133.676,38028800,$134.2615,$135.5425,$133.556
09/29/2021,$134.3535,30848700,$136.98,$137.151,$133.865
09/28/2021,$135.83,45772200,$138.655,$139.0965,$135.36
09/27/2021,$141.072,21881960,$140.8043,$141.9385,$140.0675
09/24/2021,$142.215,22983900,$140.5385,$142.3303,$140.241
09/23/2021,$141.216,20951000,$140.9875,$141.6965,$140.4015
09/22/2021,$140.2835,25055560,$139.304,$140.887,$138.5515
09/21/2021,$139.033,25331900,$139.7495,$140.0115,$138.278
09/20/2021,$138.7195,46518040,$138.1615,$139,$136.3218
09/17/2021,$140.8,53384460,$143.0305,$143.45,$140.4698
09/16/2021,$143.61,26195420,$143.9505,$144.3,$142.4015
09/15/2021,$144.4295,27407580,$142.7715,$144.4505,$141.3475
09/14/2021,$142.5445,19673860,$142.9953,$143.363,$141.75
09/13/2021,$142.3325,22093840,$141.9495,$142.95,$141.25
